tag,dataset,seed,features,balance,model,family,n_features,n_train,n_train_used,n_val,svm_cap,epochs_run,max_epochs,train_seconds,predict_seconds,load_seconds,total_seconds,finished_utc,host,accuracy,balanced_accuracy,precision,recall,f1,precision_macro,recall_macro,f1_macro,mcc,roc_auc,pr_auc,tn,fp,fn,tp,n_test,pos_rate,f1_consistency_error
CIC-IDS2017__balanced__all__RF__seed45,CIC-IDS2017,45,all,balanced,RF,ML,47,2639016,2639016,176407,,,200,46.69549226760864,0.44940948486328125,20.883323431015015,47.144901752471924,2026-09-01T14:44:26.553578+00:00,gpu1.nitsri.ac.in,0.9992883889681772,0.9991600608088144,0.9968273070400963,0.9989662706647976,0.9978956426503951,0.9983085686879292,0.9991600608088144,0.9987337178774157,0.9974682660572615,0.9999783785412076,0.9998857355087784,627932,406,132,127561,756031,0.16889915889692353,0.0
CIC-IDS2017__balanced__all__RF__seed46,CIC-IDS2017,46,all,balanced,RF,ML,47,2639016,2639016,176407,,,200,46.992626905441284,0.4266481399536133,20.933270692825317,47.4192750453949,2026-09-01T18:04:45.675601+00:00,gpu1.nitsri.ac.in,0.9992473853585369,0.9990449157074828,0.9968110051586682,0.9987391634623668,0.9977741527893503,0.9982773364378037,0.9990449157074828,0.9986606409972114,0.9973219567653221,0.9999605853173987,0.9998013208989881,627930,408,161,127532,756031,0.16889915889692353,0.0
CIC-IDS2017__balanced__all__SVM__seed42,CIC-IDS2017,42,all,balanced,SVM,ML,47,2639016,100000,176407,100000.0,,200,8.315422773361206,73.87110233306885,21.86661458015442,82.18652510643005,2026-09-01T04:38:38.026584+00:00,gpu1.nitsri.ac.in,0.9442959349550482,0.9526417041840307,0.765887243601295,0.9652447667452405,0.8540869782138699,0.8792148367225094,0.9526417041840307,0.9098321551447726,0.8286095581054942,0.9899002000547216,0.9627431812338092,590662,37676,4438,123255,756031,0.16889915889692353,0.0
CIC-IDS2017__balanced__all__SVM__seed43,CIC-IDS2017,43,all,balanced,SVM,ML,47,2639016,100000,176407,100000.0,,200,8.610753536224365,72.04434442520142,21.451972007751465,80.65509796142578,2026-09-01T08:55:12.334918+00:00,gpu1.nitsri.ac.in,0.9435671288611182,0.95215020774885,0.7633293692086616,0.965111634936919,0.8524422340657326,0.8779183615510313,0.95215020774885,0.9087772265444374,0.8267426823078721,0.9893874651761848,0.9606513402079909,590128,38210,4455,123238,756031,0.16889915889692353,1.1102230246251565e-16
CIC-IDS2017__balanced__all__SVM__seed44,CIC-IDS2017,44,all,balanced,SVM,ML,47,2639016,100000,176407,100000.0,,200,8.522776126861572,73.99688839912415,22.512441158294678,82.51966452598572,2026-09-01T11:56:16.878682+00:00,gpu1.nitsri.ac.in,0.9423304070864819,0.9513937018790836,0.7589468822170901,0.9650803098055493,0.8496904174193637,0.8757178991785384,0.9513937018790836,0.9070055139157631,0.8236423820383036,0.9888697546366103,0.958477282569166,589197,39141,4459,123234,756031,0.16889915889692353,0.0
CIC-IDS2017__balanced__all__SVM__seed45,CIC-IDS2017,45,all,balanced,SVM,ML,47,2639016,100000,176407,100000.0,,200,9.321655035018921,70.6929223537445,20.883323431015015,80.01457738876343,2026-09-01T15:02:26.293149+00:00,gpu1.nitsri.ac.in,0.944325034290922,0.9527247284039344,0.7659225478561799,0.9654092236849319,0.8541733069109353,0.8792500082159167,0.9527247284039344,0.9098840293319057,0.8287239756800592,0.9892715495945161,0.9608647785210718,590663,37675,4417,123276,756031,0.16889915889692353,1.1102230246251565e-16
CIC-IDS2017__balanced__all__SVM__seed46,CIC-IDS2017,46,all,balanced,SVM,ML,47,2639016,100000,176407,100000.0,,200,8.390623331069946,72.62669801712036,20.933270692825317,81.01732134819031,2026-09-01T18:22:48.889891+00:00,gpu1.nitsri.ac.in,0.9429401704427464,0.9516731856976952,0.7611980872122478,0.9648610338859609,0.8510141564007723,0.8768232072756276,0.9516731856976952,0.9078634741755554,0.8251083285848123,0.9894259935614909,0.9605862685421428,589686,38652,4487,123206,756031,0.16889915889692353,1.1102230246251565e-16
CIC-IDS2017__balanced__all__SimpleRNN__seed42,CIC-IDS2017,42,all,balanced,SimpleRNN,DL,47,2639016,2639016,176407,,54.0,200,132.64767694473267,0.6249656677246094,21.86661458015442,133.27264261245728,2026-09-01T04:49:36.485464+00:00,gpu1.nitsri.ac.in,0.9968480128460341,0.9953925420170109,0.9882030263834561,0.9931946152099176,0.9906925333260426,0.9934092958179482,0.9953925420170109,0.9943976435796738,0.9887998489281372,0.9998679337513152,0.9994449328301276,626824,1514,869,126824,756031,0.16889915889692353,1.1102230246251565e-16
CIC-IDS2017__balanced__all__SimpleRNN__seed43,CIC-IDS2017,43,all,balanced,SimpleRNN,DL,47,2639016,2639016,176407,,49.0,200,120.17011165618896,0.6259193420410156,21.451972007751465,120.79603099822998,2026-09-01T09:05:51.678715+00:00,gpu1.nitsri.ac.in,0.9974207406839137,0.9955561480931021,0.9919946161250186,0.9927404008050559,0.9923673683468894,0.9952595350387382,0.9955561480931021,0.9954077685930598,0.9908156387344275,0.9998034191315581,0.9991287872666651,627315,1023,927,126766,756031,0.16889915889692353,0.0
CIC-IDS2017__balanced__all__SimpleRNN__seed44,CIC-IDS2017,44,all,balanced,SimpleRNN,DL,47,2639016,2639016,176407,,46.0,200,110.10136198997498,0.6248462200164795,22.512441158294678,110.72620820999146,2026-09-01T12:05:32.273396+00:00,gpu1.nitsri.ac.in,0.9964895619359524,0.9948961035285867,0.9868020462668089,0.9924897997540977,0.9896377507594037,0.9926370038982841,0.9948961035285867,0.9937622962437559,0.9875305234437222,0.9998211011748266,0.9993110009529078,626643,1695,959,126734,756031,0.16889915889692353,0.0
